id_vente,date,region,produit_categorie,id_client,montant
128,2024-08-02,Sud,Textile,520,95.9
129,2024-08-02,Sud,Alimentaire,548,83.28
130,2024-08-02,Sud,Alimentaire,104,157.36
131,2024-08-02,Est,Alimentaire,277,172.44
132,2024-08-02,Ouest,Cosmetique,317,74.44
133,2024-08-02,Ouest,Cosmetique,266,78.61
134,2024-08-02,Ouest,Alimentaire,513,39.82
135,2024-08-02,Ouest,Mobilier,133,29.71
136,2024-08-03,Nord,Electronique,369,299.08
137,2024-08-03,Est,Alimentaire,320,204.07
138,2024-08-03,Ouest,Electronique,315,452.6
139,2024-08-04,Nord,Alimentaire,356,268.88
140,2024-08-04,Sud,Electronique,130,377.03
141,2024-08-04,Sud,Mobilier,1,340.02
142,2024-08-04,Est,Cosmetique,166,293.54
143,2024-08-04,Centre,Alimentaire,359,467.07
144,2024-08-05,Est,Alimentaire,104,235.99
145,2024-08-05,Centre,Mobilier,23,659.55
146,2024-08-06,Sud,Textile,85,339.2
147,2024-08-06,Est,Alimentaire,230,100.48
148,2024-08-06,Ouest,Electronique,439,320.39
149,2024-08-06,Centre,Mobilier,20,353.92
150,2024-08-06,Centre,Textile,239,287.18
151,2024-08-07,Nord,Alimentaire,186,433.26
152,2024-08-07,Sud,Alimentaire,136,160.67
153,2024-08-07,Est,Cosmetique,499,328.28
154,2024-08-07,Ouest,Textile,276,298.23
155,2024-08-07,Centre,Mobilier,47,440.5
156,2024-08-08,Nord,Electronique,381,255.8
157,2024-08-08,Nord,Alimentaire,77,115.17
158,2024-08-08,Centre,Mobilier,382,482.22
159,2024-08-09,Nord,Cosmetique,352,357.39
160,2024-08-09,Sud,Alimentaire,268,425.33
161,2024-08-09,Centre,Textile,332,366.21
162,2024-08-10,Sud,Mobilier,558,629.38
163,2024-08-11,Nord,Electronique,88,223.67
164,2024-08-11,Sud,Cosmetique,55,100.73
165,2024-08-11,Sud,Mobilier,61,108.88
166,2024-08-11,Sud,Alimentaire,176,164.62
167,2024-08-11,Centre,Electronique,338,467.78
168,2024-08-12,Sud,Alimentaire,133,430.08
169,2024-08-12,Ouest,Alimentaire,76,313.48
170,2024-08-13,Nord,Textile,400,504.38
171,2024-08-13,Sud,Textile,191,194.83
172,2024-08-13,Sud,Alimentaire,51,250.14
173,2024-08-13,Est,Cosmetique,196,271.12
174,2024-08-13,Centre,Textile,402,246.36
175,2024-08-13,Centre,Textile,405,299.27
176,2024-08-14,Nord,Textile,352,245.15
177,2024-08-14,Sud,Textile,434,86.54
178,2024-08-14,Sud,Electronique,144,127.86
179,2024-08-14,Sud,Alimentaire,257,196.44
180,2024-08-14,Est,Electronique,464,208.5
181,2024-08-14,Centre,Mobilier,355,525.6
182,2024-08-15,Nord,Mobilier,194,302.19
183,2024-08-15,Est,Mobilier,297,392.77
184,2024-08-15,Centre,Electronique,229,624.4
185,2024-08-16,Sud,Alimentaire,53,533.32
186,2024-08-16,Centre,Mobilier,549,91.95
187,2024-08-16,Centre,Textile,67,127.09
188,2024-08-16,Centre,Mobilier,101,171.71
189,2024-08-17,Est,Cosmetique,435,367.18
190,2024-08-17,Ouest,Textile,574,275.11
191,2024-08-17,Centre,Textile,86,337.71
192,2024-08-17,Centre,Textile,234,361.5
193,2024-08-18,Nord,Mobilier,163,472.38
194,2024-08-18,Sud,Textile,436,467.18
195,2024-08-18,Est,Cosmetique,107,340.62
196,2024-08-18,Ouest,Electronique,210,335.73
197,2024-08-19,Nord,Cosmetique,186,402.14
198,2024-08-19,Est,Alimentaire,211,90.03
199,2024-08-19,Ouest,Textile,123,255.71
200,2024-08-19,Ouest,Cosmetique,323,328.35
201,2024-08-20,Nord,Mobilier,257,558.61
202,2024-08-20,Sud,Alimentaire,271,582.4
203,2024-08-20,Centre,Cosmetique,169,553.38
204,2024-08-21,Nord,Textile,472,23.91
205,2024-08-21,Ouest,Mobilier,325,428.81
206,2024-08-22,Ouest,Textile,46,68.83
207,2024-08-22,Ouest,Alimentaire,504,97.98
208,2024-08-22,Ouest,Cosmetique,124,104.82
209,2024-08-22,Centre,Textile,442,590.13
210,2024-08-23,Ouest,Alimentaire,167,578.56
211,2024-08-24,Nord,Mobilier,395,368.96
212,2024-08-24,Sud,Cosmetique,240,401.67
213,2024-08-24,Centre,Cosmetique,431,597.95
214,2024-08-25,Sud,Alimentaire,461,218.36
215,2024-08-25,Sud,Cosmetique,571,127.62
216,2024-08-25,Sud,Mobilier,158,175.63
217,2024-08-26,Sud,Mobilier,257,526.32
218,2024-08-26,Est,Cosmetique,145,63.69
219,2024-08-26,Ouest,Textile,434,407.81
220,2024-08-27,Nord,Textile,247,347.34
221,2024-08-27,Sud,Mobilier,204,366.62
222,2024-08-27,Est,Textile,539,355.73
223,2024-08-28,Nord,Alimentaire,181,290.75
224,2024-08-28,Sud,Electronique,331,683.85
225,2024-08-28,Est,Cosmetique,115,10.0
226,2024-08-29,Nord,Alimentaire,375,313.75
227,2024-08-29,Ouest,Mobilier,461,497.9
228,2024-08-29,Centre,Electronique,170,626.37
229,2024-08-30,Nord,Mobilier,275,224.49
230,2024-08-30,Ouest,Electronique,543,445.91
231,2024-08-30,Centre,Alimentaire,126,890.21
232,2024-08-31,Centre,Electronique,566,696.48
233,2024-09-01,Nord,Textile,216,142.02
234,2024-09-01,Sud,Alimentaire,257,329.67
235,2024-09-01,Ouest,Cosmetique,300,156.67
236,2024-09-01,Centre,Mobilier,28,461.61
237,2024-09-02,Nord,Textile,586,64.56
238,2024-09-02,Ouest,Cosmetique,492,172.83
239,2024-09-03,Nord,Electronique,471,199.96
240,2024-09-03,Nord,Textile,233,164.14
241,2024-09-03,Sud,Cosmetique,41,358.47
242,2024-09-03,Est,Alimentaire,451,100.78
243,2024-09-03,Ouest,Electronique,334,241.93
244,2024-09-05,Nord,Cosmetique,80,283.7
245,2024-09-05,Ouest,Electronique,589,180.67
246,2024-09-05,Centre,Cosmetique,599,360.7
247,2024-09-07,Est,Mobilier,312,251.39
248,2024-09-08,Nord,Alimentaire,482,274.08
249,2024-09-08,Nord,Textile,39,184.53
250,2024-09-08,Sud,Cosmetique,383,261.94
251,2024-09-08,Sud,Electronique,218,312.66
252,2024-09-08,Est,Alimentaire,115,266.46
253,2024-09-09,Est,Textile,21,257.82
254,2024-09-09,Ouest,Electronique,468,155.63
255,2024-09-09,Ouest,Alimentaire,473,155.39
256,2024-09-10,Sud,Electronique,87,210.58
257,2024-09-10,Ouest,Alimentaire,411,371.81
258,2024-09-10,Centre,Textile,31,368.92
259,2024-09-10,Centre,Textile,381,357.19
260,2024-09-11,Nord,Electronique,10,205.38
261,2024-09-11,Sud,Alimentaire,59,262.99
262,2024-09-11,Est,Cosmetique,457,263.89
263,2024-09-11,Ouest,Textile,123,431.9
264,2024-09-12,Nord,Cosmetique,25,66.44
265,2024-09-12,Nord,Cosmetique,338,165.28
266,2024-09-12,Nord,Mobilier,95,97.09
267,2024-09-12,Nord,Electronique,231,143.34
268,2024-09-12,Sud,Electronique,437,290.22
269,2024-09-12,Est,Electronique,541,226.28
270,2024-09-12,Ouest,Alimentaire,33,404.08
271,2024-09-12,Centre,Textile,17,227.5
272,2024-09-12,Centre,Textile,56,196.34
273,2024-09-12,Centre,Mobilier,237,218.05
274,2024-09-13,Nord,Mobilier,229,356.71
275,2024-09-13,Sud,Mobilier,201,541.06
276,2024-09-13,Centre,Cosmetique,373,317.79
277,2024-09-13,Centre,Electronique,95,380.49
278,2024-09-14,Nord,Alimentaire,81,300.21
279,2024-09-14,Sud,Textile,333,151.85
280,2024-09-14,Sud,Alimentaire,200,209.81
281,2024-09-14,Est,Electronique,488,206.48
282,2024-09-14,Est,Electronique,131,191.4
283,2024-09-15,Nord,Textile,427,116.64
284,2024-09-15,Est,Cosmetique,292,81.72
285,2024-09-15,Ouest,Mobilier,77,99.31
286,2024-09-15,Ouest,Cosmetique,452,232.98
287,2024-09-16,Nord,Electronique,9,261.0
288,2024-09-16,Sud,Electronique,165,226.57
289,2024-09-16,Est,Cosmetique,306,171.7
290,2024-09-16,Ouest,Mobilier,587,387.13
291,2024-09-17,Nord,Mobilier,336,255.85
292,2024-09-17,Ouest,Electronique,485,445.45
293,2024-09-17,Centre,Mobilier,189,265.49
294,2024-09-18,Nord,Mobilier,476,217.53
295,2024-09-18,Sud,Textile,456,257.67
296,2024-09-18,Sud,Textile,269,298.18
297,2024-09-18,Sud,Alimentaire,569,182.76
298,2024-09-18,Ouest,Cosmetique,438,382.09
299,2024-09-19,Nord,Electronique,467,115.07
300,2024-09-19,Ouest,Mobilier,431,359.54
301,2024-09-20,Nord,Alimentaire,381,310.55
302,2024-09-20,Sud,Textile,70,623.51
303,2024-09-20,Centre,Mobilier,325,290.75
304,2024-09-20,Centre,Cosmetique,348,300.82
305,2024-09-21,Nord,Textile,402,251.67
306,2024-09-21,Sud,Electronique,353,349.64
307,2024-09-21,Centre,Mobilier,267,218.21
308,2024-09-21,Centre,Alimentaire,25,86.53
309,2024-09-21,Centre,Electronique,432,163.57
310,2024-09-22,Nord,Mobilier,1,159.75
311,2024-09-22,Sud,Mobilier,525,582.0
312,2024-09-23,Nord,Mobilier,169,266.12
313,2024-09-23,Est,Mobilier,234,61.6
314,2024-09-23,Ouest,Mobilier,592,269.94
315,2024-09-23,Centre,Electronique,364,448.4
316,2024-09-24,Nord,Cosmetique,264,219.83
317,2024-09-24,Sud,Cosmetique,368,344.32
318,2024-09-24,Sud,Electronique,244,204.73
319,2024-09-24,Est,Cosmetique,483,185.57
320,2024-09-24,Ouest,Alimentaire,101,293.51
321,2024-09-24,Centre,Alimentaire,502,459.06
322,2024-09-25,Nord,Electronique,307,63.22
323,2024-09-25,Ouest,Alimentaire,503,294.15
324,2024-09-25,Centre,Electronique,1,678.1
325,2024-09-26,Est,Alimentaire,396,304.39
326,2024-09-26,Centre,Textile,481,283.17
327,2024-09-27,Nord,Electronique,439,258.08
328,2024-09-27,Sud,Mobilier,497,721.63
329,2024-09-28,Est,Alimentaire,190,98.34
330,2024-09-28,Est,Textile,484,25.29
331,2024-09-28,Est,Electronique,133,44.7
332,2024-09-28,Est,Alimentaire,55,109.52
333,2024-09-29,Nord,Mobilier,381,205.58
334,2024-09-29,Sud,Alimentaire,438,171.95
335,2024-09-29,Ouest,Textile,394,301.46
336,2024-09-29,Centre,Cosmetique,470,453.59
337,2024-09-30,Ouest,Cosmetique,498,401.12
338,2024-10-01,Nord,Textile,440,202.35
339,2024-10-01,Sud,Textile,236,198.28
340,2024-10-01,Sud,Electronique,543,179.03
341,2024-10-01,Est,Cosmetique,416,152.61
342,2024-10-01,Centre,Electronique,456,293.97
343,2024-10-02,Sud,Alimentaire,82,165.35
344,2024-10-02,Sud,Textile,522,61.53
345,2024-10-02,Est,Electronique,545,97.14
346,2024-10-02,Est,Textile,35,53.35
347,2024-10-02,Ouest,Electronique,569,307.02
348,2024-10-03,Est,Alimentaire,476,69.05
349,2024-10-03,Centre,Alimentaire,578,108.08
350,2024-10-04,Nord,Mobilier,354,87.36
351,2024-10-04,Sud,Cosmetique,553,326.91
352,2024-10-04,Est,Mobilier,93,318.74
353,2024-10-04,Centre,Cosmetique,95,303.12
354,2024-10-04,Centre,Alimentaire,326,252.24
355,2024-10-05,Est,Electronique,254,199.72
356,2024-10-06,Nord,Textile,228,106.89
357,2024-10-06,Nord,Alimentaire,526,102.51
358,2024-10-06,Nord,Alimentaire,528,10.0
359,2024-10-06,Est,Electronique,112,195.55
360,2024-10-06,Ouest,Alimentaire,414,129.6
361,2024-10-07,Est,Alimentaire,133,233.22
362,2024-10-07,Centre,Electronique,573,166.67
363,2024-10-08,Sud,Alimentaire,440,484.23
364,2024-10-08,Est,Cosmetique,560,237.78
365,2024-10-08,Ouest,Cosmetique,366,201.91
366,2024-10-08,Centre,Cosmetique,54,304.82
367,2024-10-09,Nord,Cosmetique,580,148.22
368,2024-10-09,Sud,Alimentaire,491,100.57
369,2024-10-09,Sud,Textile,583,115.81
370,2024-10-09,Sud,Cosmetique,529,140.57
371,2024-10-09,Est,Cosmetique,210,171.4
372,2024-10-09,Ouest,Alimentaire,416,127.9
373,2024-10-09,Centre,Mobilier,18,433.93
374,2024-10-10,Sud,Alimentaire,266,219.07
375,2024-10-10,Est,Electronique,317,101.94
376,2024-10-10,Est,Cosmetique,365,128.87
377,2024-10-10,Centre,Electronique,86,201.14
378,2024-10-11,Nord,Cosmetique,309,105.28
379,2024-10-11,Centre,Mobilier,318,616.87
380,2024-10-12,Nord,Textile,447,184.6
381,2024-10-12,Sud,Mobilier,420,450.66
382,2024-10-12,Est,Alimentaire,128,171.6
383,2024-10-12,Ouest,Alimentaire,176,10.0
384,2024-10-12,Centre,Electronique,233,461.4
385,2024-10-13,Sud,Electronique,95,547.75
386,2024-10-13,Est,Alimentaire,19,124.32
387,2024-10-13,Ouest,Alimentaire,525,361.98
388,2024-10-14,Nord,Alimentaire,37,308.7
389,2024-10-15,Nord,Cosmetique,342,287.51
390,2024-10-15,Sud,Mobilier,343,251.34
391,2024-10-15,Est,Cosmetique,311,164.54
392,2024-10-15,Ouest,Textile,437,202.54
393,2024-10-15,Centre,Cosmetique,511,310.18
394,2024-10-15,Centre,Alimentaire,260,321.13
395,2024-10-16,Nord,Cosmetique,464,162.78
396,2024-10-16,Nord,Electronique,31,135.89
397,2024-10-16,Sud,Alimentaire,398,443.89
398,2024-10-16,Centre,Mobilier,553,537.33
399,2024-10-17,Nord,Cosmetique,134,219.76
400,2024-10-18,Sud,Alimentaire,466,318.09
401,2024-10-18,Ouest,Electronique,72,191.11
402,2024-10-18,Centre,Electronique,92,454.62
403,2024-10-19,Est,Cosmetique,371,93.2
404,2024-10-19,Est,Alimentaire,112,131.3
405,2024-10-19,Ouest,Mobilier,170,203.74
406,2024-10-19,Ouest,Textile,14,203.83
407,2024-10-19,Centre,Electronique,385,357.41
408,2024-10-20,Nord,Textile,131,240.17
409,2024-10-20,Sud,Mobilier,51,277.92
410,2024-10-20,Sud,Cosmetique,5,165.87
411,2024-10-20,Est,Electronique,475,130.06
412,2024-10-20,Centre,Textile,44,489.25
413,2024-10-21,Sud,Electronique,383,296.24
414,2024-10-21,Sud,Textile,440,287.81
415,2024-10-21,Est,Alimentaire,215,176.69
416,2024-10-22,Nord,Alimentaire,383,264.32
417,2024-10-22,Sud,Cosmetique,232,235.91
418,2024-10-22,Centre,Mobilier,77,384.47
419,2024-10-23,Nord,Electronique,327,69.56
420,2024-10-23,Est,Mobilier,68,86.14
421,2024-10-23,Est,Textile,344,20.27
422,2024-10-23,Ouest,Cosmetique,95,301.81
423,2024-10-23,Centre,Alimentaire,341,163.92
424,2024-10-23,Centre,Alimentaire,170,220.39
425,2024-10-24,Nord,Cosmetique,99,153.89
426,2024-10-24,Sud,Electronique,469,402.0
427,2024-10-24,Ouest,Mobilier,149,406.53
428,2024-10-25,Sud,Textile,317,530.04
429,2024-10-25,Est,Mobilier,88,237.92
430,2024-10-25,Centre,Alimentaire,428,617.71
431,2024-10-26,Est,Cosmetique,27,170.01
432,2024-10-26,Ouest,Alimentaire,43,282.51
433,2024-10-26,Centre,Alimentaire,502,190.56
434,2024-10-27,Nord,Textile,453,140.36
435,2024-10-27,Sud,Electronique,256,281.84
436,2024-10-27,Est,Electronique,15,158.86
437,2024-10-28,Nord,Textile,165,274.11
438,2024-10-28,Sud,Cosmetique,415,141.68
439,2024-10-29,Nord,Mobilier,330,191.93
440,2024-10-29,Est,Cosmetique,271,56.07
441,2024-10-29,Est,Mobilier,501,86.2
442,2024-10-30,Sud,Electronique,275,286.49
443,2024-10-30,Ouest,Alimentaire,394,173.9
444,2024-10-30,Ouest,Alimentaire,90,123.96
445,2024-10-31,Nord,Cosmetique,98,117.78
446,2024-10-31,Sud,Textile,149,414.65
447,2024-10-31,Est,Mobilier,162,69.38
448,2024-10-31,Ouest,Alimentaire,109,335.4
449,2024-10-31,Centre,Cosmetique,467,443.71
450,2024-11-01,Sud,Textile,543,168.2
451,2024-11-01,Est,Electronique,20,239.21
452,2024-11-02,Sud,Textile,551,321.79
453,2024-11-02,Est,Electronique,156,169.67
454,2024-11-02,Ouest,Cosmetique,332,256.63
455,2024-11-03,Est,Textile,335,60.2
456,2024-11-03,Centre,Cosmetique,545,301.84
457,2024-11-03,Centre,Electronique,44,223.57
458,2024-11-04,Nord,Alimentaire,286,233.63
459,2024-11-04,Sud,Alimentaire,188,311.06
460,2024-11-04,Ouest,Electronique,590,169.25
461,2024-11-04,Centre,Mobilier,535,297.96
462,2024-11-05,Sud,Mobilier,325,173.7
463,2024-11-05,Est,Alimentaire,475,93.71
464,2024-11-05,Ouest,Alimentaire,559,190.72
465,2024-11-05,Centre,Textile,235,374.19
466,2024-11-06,Nord,Textile,47,184.49
467,2024-11-06,Est,Alimentaire,261,136.19
468,2024-11-06,Ouest,Mobilier,52,128.37
469,2024-11-06,Centre,Textile,419,308.2
470,2024-11-07,Nord,Electronique,224,120.31
471,2024-11-07,Sud,Textile,210,200.84
472,2024-11-07,Ouest,Textile,562,230.43
473,2024-11-07,Centre,Textile,34,390.03
474,2024-11-08,Nord,Cosmetique,289,149.47
475,2024-11-08,Est,Electronique,423,107.15
476,2024-11-08,Centre,Alimentaire,481,410.71
477,2024-11-09,Sud,Mobilier,503,365.98
478,2024-11-09,Ouest,Mobilier,356,204.58
479,2024-11-09,Centre,Alimentaire,121,138.9
480,2024-11-09,Centre,Cosmetique,342,173.45
481,2024-11-10,Nord,Mobilier,447,199.58
482,2024-11-10,Ouest,Textile,526,256.07
483,2024-11-11,Nord,Mobilier,114,278.24
484,2024-11-11,Sud,Electronique,334,249.21
485,2024-11-11,Ouest,Electronique,390,218.57
486,2024-11-12,Nord,Alimentaire,231,63.48
487,2024-11-12,Nord,Cosmetique,521,55.34
488,2024-11-12,Est,Cosmetique,596,161.18
489,2024-11-13,Nord,Mobilier,562,109.47
490,2024-11-13,Est,Cosmetique,95,240.03
491,2024-11-13,Ouest,Cosmetique,505,149.2
492,2024-11-13,Ouest,Mobilier,87,77.32
493,2024-11-14,Sud,Electronique,294,245.3
494,2024-11-14,Centre,Textile,463,383.8
495,2024-11-15,Sud,Alimentaire,179,370.77
496,2024-11-15,Centre,Electronique,263,215.66
497,2024-11-16,Est,Cosmetique,502,92.85
498,2024-11-16,Ouest,Cosmetique,409,91.65
499,2024-11-17,Sud,Mobilier,580,216.69
500,2024-11-17,Ouest,Alimentaire,252,175.33
501,2024-11-18,Sud,Textile,12,440.76
502,2024-11-18,Ouest,Mobilier,509,148.99
503,2024-11-19,Sud,Mobilier,591,302.88
504,2024-11-19,Est,Textile,496,191.65
505,2024-11-19,Ouest,Textile,145,355.58
506,2024-11-19,Centre,Cosmetique,596,273.13
507,2024-11-20,Nord,Mobilier,112,249.25
508,2024-11-20,Sud,Electronique,317,385.36
509,2024-11-20,Est,Electronique,522,128.23
510,2024-11-20,Centre,Mobilier,265,79.43
511,2024-11-21,Nord,Textile,138,175.14
512,2024-11-21,Sud,Alimentaire,53,350.78
513,2024-11-22,Nord,Textile,447,201.8
514,2024-11-22,Ouest,Textile,432,85.02
515,2024-11-22,Centre,Alimentaire,389,283.62
516,2024-11-22,Centre,Textile,377,254.45
517,2024-11-23,Nord,Alimentaire,124,189.49
518,2024-11-23,Est,Mobilier,251,107.85
519,2024-11-23,Centre,Alimentaire,167,483.79
520,2024-11-24,Nord,Electronique,577,203.61
521,2024-11-24,Sud,Alimentaire,268,10.0
522,2024-11-24,Est,Textile,62,306.38
523,2024-11-24,Centre,Mobilier,478,278.32
524,2024-11-25,Nord,Alimentaire,443,230.78
525,2024-11-25,Sud,Textile,430,371.01
526,2024-11-25,Centre,Alimentaire,402,290.5
527,2024-11-26,Sud,Mobilier,102,289.89
528,2024-11-26,Est,Mobilier,236,147.16
529,2024-11-26,Centre,Electronique,217,369.46
530,2024-11-27,Ouest,Mobilier,65,92.94
531,2024-11-27,Ouest,Textile,24,81.59
532,2024-11-27,Ouest,Mobilier,540,142.43
533,2024-11-28,Nord,Mobilier,515,175.07
534,2024-11-28,Sud,Textile,34,185.87
535,2024-11-28,Est,Textile,89,128.65
536,2024-11-29,Nord,Mobilier,248,304.18
537,2024-11-29,Est,Mobilier,369,209.07
538,2024-11-30,Ouest,Alimentaire,288,86.91
539,2024-11-30,Centre,Mobilier,428,476.72
540,2024-12-01,Nord,Electronique,11,248.46
541,2024-12-01,Est,Electronique,156,282.57
542,2024-12-01,Centre,Electronique,236,804.23
543,2024-12-02,Est,Electronique,110,178.31
544,2024-12-02,Centre,Mobilier,542,102.79
545,2024-12-02,Centre,Alimentaire,595,121.71
546,2024-12-03,Sud,Textile,120,664.39
547,2024-12-03,Ouest,Mobilier,526,228.15
548,2024-12-03,Centre,Cosmetique,568,926.74
549,2024-12-04,Nord,Mobilier,349,295.67
550,2024-12-04,Sud,Electronique,255,181.42
551,2024-12-04,Sud,Cosmetique,114,306.13
552,2024-12-04,Sud,Mobilier,466,195.2
553,2024-12-04,Sud,Alimentaire,277,255.74
554,2024-12-04,Ouest,Alimentaire,548,293.65
555,2024-12-04,Centre,Cosmetique,96,824.13
556,2024-12-05,Sud,Textile,395,875.94
557,2024-12-05,Ouest,Cosmetique,91,223.12
558,2024-12-05,Ouest,Alimentaire,594,254.35
559,2024-12-05,Centre,Cosmetique,417,316.59
560,2024-12-05,Centre,Electronique,555,242.39
561,2024-12-06,Nord,Electronique,70,339.26
